	A	len	T_insertion	T_quick	T_merge	T_heap
172	[14, 2, 10, 18, 12, 7, 17, 8, 0, 4]	10	1.000000000139778e-06	9.999999992515995e-07	0.0	2.000000000279556e-06
173	[5, 18, 1, 9, 10, 13, 7, 0, 11, 12]	10	2.000000000279556e-06	1.000000000139778e-06	0.0	0.0
174	[1, 11, 14, 16, 18, 10, 2, 19, 7, 0]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	1.9999999993913775e-06
175	[17, 9, 12, 4, 19, 13, 10, 18, 11, 1]	10	0.0	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
176	[12, 1, 9, 4, 10, 2, 16, 18, 7, 19]	10	1.9999999993913775e-06	2.000000000279556e-06	0.0	1.000000000139778e-06
177	[9, 0, 7, 16, 12, 10, 15, 8, 13, 5]	10	2.000000000279556e-06	1.000000000139778e-06	1.000000000139778e-06	0.0
178	[15, 10, 4, 9, 16, 7, 13, 1, 3, 0]	10	1.000000000139778e-06	1.000000000139778e-06	1.9999999993913775e-06	2.000000000279556e-06
179	[0, 7, 10, 16, 6, 8, 12, 5, 1, 3]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	0.0
180	[17, 4, 5, 10, 11, 18, 6, 16, 8, 19]	10	9.999999992515995e-07	0.0	1.000000000139778e-06	1.9999999993913775e-06
181	[1, 10, 4, 3, 15, 17, 13, 14, 12, 11]	10	1.000000000139778e-06	1.000000000139778e-06	9.999999992515995e-07	2.000000000279556e-06
182	[0, 14, 9, 17, 7, 3, 13, 4, 8, 19]	10	1.000000000139778e-06	0.0	0.0	1.000000000139778e-06
183	[5, 16, 18, 11, 4, 7, 0, 13, 2, 17]	10	1.9999999993913775e-06	1.000000000139778e-06	0.0	0.0
184	[16, 15, 5, 8, 11, 6, 10, 7, 14, 0]	10	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06
185	[17, 6, 9, 3, 1, 7, 11, 14, 19, 18]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	2.000000000279556e-06
186	[6, 8, 19, 5, 9, 18, 2, 17, 0, 10]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	1.000000000139778e-06
187	[6, 17, 18, 3, 7, 16, 0, 19, 14, 4]	10	1.000000000139778e-06	2.000000000279556e-06	0.0	0.0
188	[1, 18, 14, 5, 0, 10, 13, 15, 16, 7]	10	0.0	9.999999992515995e-07	1.000000000139778e-06	1.9999999993913775e-06
189	[2, 5, 17, 12, 9, 11, 19, 16, 3, 6]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
190	[16, 7, 3, 12, 8, 14, 5, 4, 1, 9]	10	0.0	1.000000000139778e-06	2.000000000279556e-06	9.999999992515995e-07
191	[18, 1, 15, 2, 9, 8, 13, 11, 4, 7]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
192	[16, 4, 14, 1, 15, 17, 8, 0, 11, 19]	10	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06
193	[9, 11, 8, 4, 7, 12, 0, 19, 13, 17]	10	1.9999999993913775e-06	0.0	0.0	0.0
